seg,filled_conc1_tn,filled_conc1_tp
EM0_4888_0000,1.35,1.16
EM0_5260_0000,1.35,1.16
EM2_3980_0001,1.55963302,0.661521494
EM2_4100_0001,1.35,1.16
EM2_4101_0000,1.35,1.16
EM3_4320_0000,1.35,1.16
EM3_4321_0000,1.35,1.16
EM3_4325_0000,1.35,1.16
EM3_4326_0000,1.35,1.16
EM4_4740_0000,1.35,1.16
EU0_2940_0000,1.4,0.819786405
EU0_2941_0000,1.4,0.819786405
EU0_2985_0000,1.35,1.16
EU0_3010_0000,1.35,1.16
EU0_3050_0000,1.35,1.16
EU0_3130_0000,1.35,1.16
EU0_3200_0000,1.35,1.16
EU0_3201_0000,1.35,1.16
EU0_3202_0000,1.35,1.16
EU0_3203_0000,1.35,1.16
EU0_3300_0000,1.35,1.16
EU0_3360_0000,1.35,1.16
EU0_3361_0000,1.35,1.16
EU0_3362_0000,1.35,1.16
EU0_3363_0000,1.35,1.16
EU0_3570_0000,1.35,1.16
EU0_3571_0000,1.35,1.16
EU0_3572_0000,1.35,1.16
EU0_3573_0000,1.35,1.16
EU0_3700_0000,1.35,1.16
EU0_3720_0000,1.35,1.16
EU0_3721_0000,1.35,1.16
EU0_3722_0000,1.35,1.16
EU0_3724_0000,1.35,1.16
EU0_3725_0000,1.35,1.16
EU0_3830_0001,1.35,1.16
EU0_4010_0000,1.35,1.16
EU0_4011_0000,1.35,1.16
EU0_4012_0000,1.35,1.16
EU0_4013_0000,1.35,1.16
EU0_4014_0000,1.35,1.16
EU0_4015_0000,1.35,1.16
EU0_4030_0000,1.35,1.16
EU0_4120_0000,1.35,1.16
EU0_4121_0000,1.35,1.16
EU0_4260_0000,1.35,1.16
EU0_4470_0000,1.35,1.16
EU0_4471_0000,1.35,1.16
EU0_4472_0000,1.35,1.16
EU0_4473_0000,1.35,1.16
EU0_4474_0000,1.35,1.16
EU0_4475_0000,1.35,1.16
EU0_4490_0000,1.35,1.16
EU0_4550_0000,1.35,1.16
EU0_4610_0000,1.35,1.16
EU0_4700_0000,1.35,1.16
EU1_2650_0001,1.4,0.819786405
EU1_2810_0001,1.4,0.819786405
EU1_2980_0000,1.35,1.16
EU1_2981_0000,1.35,1.16
EU1_2982_0000,1.35,1.16
EU1_2983_0000,1.35,1.16
EU1_2984_0000,1.35,1.16
EU2_3520_0001,1.35,1.16
GY0_3800_3801,1.386129946,0.735
GY0_3801_0000,1.386129946,0.735
GY0_3950_3952,1.386129946,0.735
GY0_3951_3952,1.386129946,0.735
GY0_3952_0000,1.386129946,0.735
GY0_4240_3951,1.386129946,0.735
GY0_4530_4532,1.386129946,0.735
GY0_4531_4532,1.386129946,0.735
GY0_4532_3951,1.386129946,0.735
JA0_7291_7290,1.35,0.977135062
JA1_7600_7570,4,0.423998296
JA1_7640_7280,4,0.977135062
JA2_7290_0001,1.35,0.977135062
JA2_7410_7470,4,0.977135062
JA2_7550_7280,4,1.95656431
JA2_7570_7480,4,0.977135062
JA4_7280_7340,4,0.977135062
JA4_7340_7470,4,0.977135062
JA4_7470_7480,4,0.977135062
JA5_7460_0000,1.35,1.16
JA5_7480_0001,4,0.977135062
JA5_7520_0000,1.35,0.977135062
JB0_7050_0000,1.35,1.16
JB0_7051_0001,1.35,1.16
JB0_7052_0001,1.35,1.16
JB0_7053_0001,1.35,1.16
JB0_7071_0000,1.35,1.16
JB0_7072_0000,1.35,1.16
JB0_7073_0000,1.35,1.16
JB0_7074_0000,1.35,1.16
JB0_7270_0000,1.35,1.16
JB0_7390_0000,1.35,1.16
JB0_7580_0000,1.35,1.16
JB0_7660_0000,1.35,1.16
JB0_7760_0000,1.35,1.16
JB1_8090_0001,1.35,1.16
JB2_7800_0001,1.35,1.16
JB3_6820_7053,0.714209616,1.91082811
JB7_7070_0001,1.35,1.523199354
JL1_6560_6440,0.510543823,3.57781744
JL1_6760_6910,1.29169083,1.64079261
JL1_6770_6850,1.21235085,1.08073056
JL1_6910_6960,1.29169083,1.64079261
JL1_6940_7200,1.21235085,1.08073056
JL1_7080_7190,0.460210919,4
JL1_7170_6800,1.0224539,1.41023827
JL1_7190_7250,1.21235085,1.08073056
JL1_7200_7250,1.21235085,1.08073056
JL1_7530_7430,1.13861394,0.950413287
JL2_6240_6520,0.812672198,1.54225779
JL2_6440_6441,1.07077134,2.73074841
JL2_6441_6520,1.07077134,2.73074841
JL2_6850_6890,1.21235085,1.08073056
JL2_7110_7120,1.29169083,0.552181125
JL2_7120_6970,1.29169083,1.64079261
JL2_7240_7350,0.412186384,2.48262143
JL2_7250_7090,1.21235085,1.08073056
JL2_7350_7090,1.21235085,1.08073056
JL3_7020_7100,1.29169083,1.64079261
JL3_7090_7150,1.21235085,1.08073056
JL4_6520_6710,0.812672198,0.890471935
JL4_6710_6740,1.29169083,1.64079261
JL6_6740_7100,1.29169083,1.64079261
JL6_6890_6990,1.21235085,1.08073056
JL6_6960_6970,1.29169083,1.64079261
JL6_6970_6740,1.29169083,1.64079261
JL6_6990_6960,1.29169083,1.64079261
JL6_7150_6890,1.21235085,1.08073056
JL6_7160_7440,1.13861394,0.950413287
JL6_7320_7150,1.21235085,1.08073056
JL6_7430_7320,1.13861394,0.950413287
JL6_7440_7430,1.13861394,0.950413287
JL7_6800_7070,1.0224539,1.41023827
JL7_7030_6800,1.0224539,1.41023827
JL7_7100_7030,1.29169083,1.64079261
JU1_6290_6590,1.308074,3.48068237
JU1_6300_6650,0.622245252,3.1446538
JU1_6340_6650,1.13861394,2.94464064
JU1_6590_6600,1.308074,3.48068237
JU1_6880_7260,0.537822962,2.24870706
JU1_7560_7500,1.13861394,0.950413287
JU1_7630_7490,1.13861394,4
JU1_7690_7490,1.13861394,0.950413287
JU1_7750_7560,1.13861394,2.7502749
JU2_6410_6640,0.418076843,3.81242824
JU2_6600_6810,1.308074,3.48068237
JU2_6810_6900,3.72104239,0.409836054
JU2_7140_7330,1.71717179,1.92926049
JU2_7180_7380,1.13861394,0.950413287
JU2_7360_7000,1.13861394,0.950413287
JU2_7450_7360,1.13861394,0.950413287
JU3_6380_6900,0.844346523,3.26477337
JU3_6640_6790,0.572344303,3.64564371
JU3_6650_7300,1.13861394,2.94464064
JU3_6790_7260,0.537822962,2.24870706
JU3_6900_6950,3.72104239,0.409836054
JU3_6950_7330,1.71717179,1.92926049
JU3_7400_7510,1.13861394,0.950413287
JU3_7490_7400,1.13861394,0.950413287
JU4_7000_7300,1.13861394,0.950413287
JU4_7260_7380,1.13861394,0.950413287
JU4_7330_7000,1.13861394,0.950413287
JU4_7380_7160,1.13861394,0.950413287
JU5_7300_7510,1.13861394,0.950413287
JU5_7420_7160,1.13861394,0.950413287
JU5_7500_7420,1.13861394,0.950413287
JU5_7510_7500,1.13861394,0.950413287
KU0_8980_0000,1.106610107,1.759313065
MN0_7790_0000,1.35,1.16
MN0_7870_0000,1.35,1.16
MN0_8040_0000,1.35,1.16
MN0_8300_0001,1.35,1.16
MN1_7590_7860,1.35,1.16
MN1_7620_7710,1.21633363,1.34348416
MN1_7730_8160,1.35,1.16
MN1_7990_8100,1.81693518,0.911577046
MN1_8240_0000,1.35,1.16
MN2_7720_7830,1.21633363,1.34348416
MN2_7830_7950,1.21633363,1.34348416
MN2_7850_0000,1.35,1.16
MN2_8100_8190,1.81693518,0.911577046
MN2_8250_8190,1.81693518,0.911577046
MN2_8530_8510,1.530307942,1.073542214
MN3_7540_7680,1.11180508,1.04283655
MN3_7680_7860,1.35,1.16
MN3_7770_7930,1.03909469,2.06143069
MN3_7860_8080,1.35,1.16
MN3_7930_8010,1.03909469,2.06143069
MN3_8010_7950,1.21633363,1.34348416
MN3_8150_0000,1.35,1.16
MN3_8190_8260,1.81693518,0.911577046
MN4_7710_8161,1.21633363,1.34348416
MN4_7810_8080,1.35,1.16
MN4_7950_7710,1.21633363,1.34348416
MN4_8080_8110,1.35,1.16
MN4_8110_0000,1.35,1.16
MN4_8260_8400,1.81693518,0.911577046
MN4_8380_0000,1.35,1.16
MN4_8400_8380,1.530307942,1.073542214
MN4_8510_8380,1.530307942,1.073542214
MN5_8160_0000,1.35,1.16
MN5_8161_8160,1.35,1.16
MN5_8230_8161,1.21633363,1.34348416
NR0_8310_0000,1.084409681,1.759313065
NR1_7880_8050,1.4693476,1.76273584
NR1_8030_8051,1.4693476,1.76273584
NR1_8820_8760,1.01784718,1.03128219
NR1_8960_8870,0.884353697,2.02908349
NR1_9030_9080,0.884353697,2.02908349
NR1_9150_9050,0.884353697,2.02908349
NR2_8210_8180,0.623306215,2.36966825
NR2_8600_8700,1.14273846,1.0793308
NR2_9250_9170,0.884353697,2.02908349
NR3_8290_8170,1.4693476,1.76273584
NR3_8420_8430,0.629834235,3.92003107
NR3_8430_7820,1.4693476,1.76273584
NR3_8690_8500,1.01784718,1.03128219
NR3_8740_8500,1.01784718,1.03128219
NR3_9170_9130,0.884353697,2.02908349
NR3_9190_9170,0.884353697,2.02908349
NR3_9240_9130,0.884353697,2.02908349
NR3_9310_9240,0.884353697,2.02908349
NR4_9130_9080,0.884353697,2.02908349
NR5_8700_8640,1.01784718,1.03128219
NR5_8760_8640,1.01784718,1.03128219
NR5_8870_8760,1.01784718,1.03128219
NR5_9050_8870,0.884353697,2.02908349
NR5_9080_9050,0.884353697,2.02908349
NR6_7820_7960,1.4693476,1.76273584
NR6_7960_8050,1.4693476,1.76273584
NR6_8000_0000,1.084409681,1.759313065
NR6_8050_8051,1.4693476,1.76273584
NR6_8051_8000,1.4693476,1.76273584
NR6_8170_7960,1.4693476,1.76273584
NR6_8180_8051,1.4693476,1.76273584
NR6_8500_7820,1.4693476,1.76273584
NR6_8640_8500,1.01784718,1.03128219
OD0_8621_8470,1.108320495,1.683400285
OD0_8931_9140,1.108320495,1.683400285
OD1_8910_8930,0.586550295,2.76778316
OD1_9270_9110,1.108320495,1.683400285
OD2_8560_8630,1.108320495,1.683400285
OD2_8670_8890,0.369204044,2.29937935
OD2_8830_8710,1.108320495,1.683400285
OD2_8840_9020,1.108320495,1.683400285
OD2_8920_8830,1.108320495,1.683400285
OD3_8340_8520,1.108320495,1.683400285
OD3_8520_8621,1.108320495,1.683400285
OD3_8630_8720,1.108320495,1.683400285
OD3_8710_8470,1.108320495,1.683400285
OD3_8720_8900,1.108320495,1.683400285
OD3_8850_8931,0.513950109,2.41312742
OD3_8930_8931,1.108320495,1.683400285
OD3_9020_9110,1.108320495,1.683400285
OD4_8990_8900,1.108320495,1.683400285
OD4_9110_9140,1.108320495,1.683400285
OD4_9140_8990,1.108320495,1.683400285
OD5_8770_8780,1.108320495,1.683400285
OD5_8780_8660,1.108320495,1.683400285
OD5_8890_8770,1.108320495,1.683400285
OD5_8900_8770,1.108320495,1.683400285
OD5_8940_8780,1.108320495,1.683400285
OD6_8660_8621,1.108320495,1.683400285
OR1_7700_7980,1.108320495,1.683400285
OR1_8280_8020,1.108320495,1.683400285
OR1_8320_8271,1.00553513,1.39062715
OR2_7610_7780,1.108320495,1.683400285
OR2_7650_8070,0.452362329,2.04918051
OR2_7670_7840,0.477589965,2.65674829
OR2_7780_7890,1.108320495,1.683400285
OR2_7840_7970,1.108320495,1.683400285
OR2_7900_7740,1.108320495,1.683400285
OR2_8020_8130,1.108320495,1.683400285
OR2_8070_8120,1.108320495,1.683400285
OR2_8130_7900,1.108320495,1.683400285
OR2_8450_8490,1.108320495,1.683400285
OR2_8460_8271,0.613317728,1.90077913
OR3_7740_8271,1.108320495,1.683400285
OR4_8120_7890,1.108320495,1.683400285
OR4_8271_8120,1.108320495,1.683400285
OR5_7890_7970,1.108320495,1.683400285
OR5_7910_8410,1.108320495,1.683400285
OR5_7970_8200,1.108320495,1.683400285
OR5_7980_8200,1.108320495,1.683400285
OR5_8200_8370,1.108320495,1.683400285
OR5_8370_8410,1.108320495,1.683400285
OR5_8410_8470,1.108320495,1.683400285
OR7_8470_8490,1.108320495,1.683400285
OR7_8490_0000,1.108320495,1.683400285
PL0_4510_0001,0.99816519,0.783999979
PL0_4961_0000,1.35,1.16
PL0_5000_0001,1.35,1.82149351
PL0_5010_5130,0.451467246,0.684130549
PL0_5070_0001,1.35,1.16
PL0_5090_0000,1.35,1.210115129
PL0_5131_0000,1.35,1.16
PL0_5141_5140,1.35,1.210115129
PL0_5250_0001,1.35,1.210115129
PL0_5251_0000,1.35,1.16
PL0_5290_0000,1.35,1.16
PL0_5390_0000,1.35,1.16
PL0_5440_0000,1.35,1.16
PL0_5450_0000,1.35,1.16
PL0_5490_0001,1.35,1.16
PL0_5491_0000,1.35,1.16
PL0_5510_0001,1.35,1.16
PL0_5530_5710,1.35,1.16
PL0_5540_5490,1.32190073,0.800000012
PL0_5580_0000,1.35,1.16
PL0_5581_0000,1.35,1.16
PL0_5582_0000,1.35,1.16
PL0_5583_0000,1.35,1.16
PL0_5584_0000,1.35,1.16
PL0_5585_0000,1.35,1.16
PL0_5670_0000,1.35,1.16
PL0_5671_0000,1.35,1.16
PL0_5672_0000,1.35,1.16
PL0_5710_0001,1.35,1.16
PL0_5720_0001,1.35,1.16
PL0_5730_5690,1.35,2.33972859
PL0_5750_0001,1.35,1.16
PL0_5790_0000,1.35,1.16
PL0_5830_0001,1.35,1.16
PL0_5850_0000,1.35,1.210115129
PL0_5860_0000,1.35,1.16
PL0_5900_0000,1.35,1.16
PL0_5920_0000,1.35,1.16
PL0_5930_0000,1.35,1.16
PL0_5950_0000,1.35,1.16
PL0_5951_0000,1.35,1.16
PL0_5952_0000,1.35,1.16
PL0_5960_0000,1.35,1.16
PL0_5961_0000,1.35,1.16
PL0_5962_0000,1.35,1.16
PL0_5980_0000,1.35,1.16
PL0_5981_0000,1.35,1.16
PL0_5982_0000,1.35,1.16
PL0_5983_0000,1.35,1.16
PL0_6020_0000,1.35,1.16
PL0_6060_0000,1.35,1.16
PL0_6100_0000,1.35,1.16
PL0_6110_0000,1.35,1.16
PL0_6130_0000,1.35,1.16
PL0_6140_0000,1.35,1.16
PL0_6270_0000,1.35,1.16
PL1_4460_4780,0.952535093,1.04829645
PL1_4540_0001,1.35,1.10694182
PL1_4780_0001,1.35,1.210115129
PL1_5060_0000,1.35,1.16
PL1_5061_0000,1.35,1.16
PL1_5130_0001,1.35,1.210115129
PL1_5230_0001,1.35,1.16
PL1_5370_5470,1.35,0.566251397
PL1_5690_0001,1.35,1.210115129
PL1_5910_0001,1.35,1.16
PL2_4810_0000,1.35,1.16
PL2_4945_0004,1.35,1.16
PL2_4970_5250,1.35,1.210115129
PL2_5140_5360,1.35,1.210115129
PL2_5300_5630,1.35,1.16
PL2_5470_5360,1.35,1.210115129
PL2_5630_0001,1.35,1.16
PL2_5800_0000,1.35,1.16
PL3_5360_5250,1.35,1.210115129
PL7_4910_0000,1.35,1.210115129
PL7_4940_0000,1.35,1.16
PL7_4960_0000,1.35,1.210115129
PL7_4980_0000,1.35,1.16
PM0_4640_4820,1.18137598,0.992227495
PM1_3120_3400,1.86185765,0.71401
PM1_3450_3400,1.32997835,0.881057262
PM1_3510_4000,0.598259568,1.22100127
PM1_3710_4040,1.32997835,0.881057262
PM1_4000_4290,1.37646246,1.03463793
PM1_4250_4500,1.18137598,0.41254124
PM1_4430_4200,0.384862095,1.75716031
PM1_4500_4580,1.18137598,0.992227495
PM2_2860_3040,1.26839173,1.18466902
PM2_3400_3340,1.32997835,0.881057262
PM2_4860_4670,1.18137598,0.823723257
PM3_3040_3340,1.32997835,0.881057262
PM3_4660_4620,1.18137598,0.992227495
PM3_4670_4660,1.18137598,0.823723257
PM4_3340_3341,1.32997835,0.881057262
PM4_3341_4040,1.32997835,0.881057262
PM4_4040_4410,1.18137598,0.992227495
PM7_4150_4290,1.37646246,1.03463793
PM7_4200_4410,1.18137598,0.992227495
PM7_4290_4200,1.37646246,1.03463793
PM7_4410_4620,1.18137598,0.992227495
PM7_4580_4820,1.18137598,0.992227495
PM7_4620_4580,1.18137598,0.992227495
PM7_4820_0001,1.18137598,0.992227495
PS0_6150_6160,1.6477809,0.748783231
PS0_6160_6161,1.6477809,0.748783231
PS1_4790_4830,1.3452915,1.41562843
PS1_4830_5080,1.3452915,1.06298161
PS2_5550_5560,1.26334512,1.86811125
PS2_5560_5100,1.06471825,0.81234771
PS2_6420_6360,1.79607117,1.22925627
PS2_6490_6420,1.51900077,0.815660715
PS2_6660_6490,1.51900077,0.815660715
PS2_6730_6660,1.09977472,1.31440592
PS3_5100_5080,2.38208675,0.641025662
PS3_5990_6161,1.6477809,0.748783231
PS3_6161_6280,1.6477809,0.748783231
PS3_6280_6230,1.79607117,1.22925627
PS3_6460_6230,1.44455743,0.761614621
PS4_5080_4380,1.3452915,1.06298161
PS4_5840_5240,1.08739161,1.12485945
PS4_6230_6360,1.79607117,1.22925627
PS4_6360_5840,1.79607117,1.22925627
PS5_4370_4150,1.37646246,1.03463793
PS5_4380_4370,1.3452915,1.06298161
PS5_5200_4380,1.3452915,1.06298161
PS5_5240_5200,1.99973345,0.603500307
PU0_3000_3090,1.44812357,0.811867476
PU0_3601_3602,1.32784534,0.888625622
PU0_3611_3530,1.32784534,0.888625622
PU0_3751_3752,1.32784534,0.888625622
PU0_3871_3690,1.25409627,0.997975171
PU0_5620_5380,1.43243241,0.311817884
PU0_6080_5620,1.43243241,0.311817884
PU1_3030_3440,1.32784534,0.888625622
PU1_3100_3690,1.25409627,0.997975171
PU1_3170_3580,1.43243241,0.74677527
PU1_3580_3780,1.43243241,0.74677527
PU1_3850_4190,1.67973125,0.398839742
PU1_3940_3970,1.82869279,0.954782903
PU1_4190_4300,1.67973125,0.398839742
PU1_4300_4440,1.67973125,0.398839742
PU1_4760_4450,1.67973125,0.398839742
PU1_4840_4760,1.67973125,0.398839742
PU1_5380_5050,1.43243241,0.311817884
PU1_5520_5210,1.43243241,0.311817884
PU1_5820_5380,1.43243241,0.311817884
PU2_2790_3290,1.64714503,0.799623728
PU2_2840_3080,1.32784534,0.888625622
PU2_3080_3640,1.32784534,0.888625622
PU2_3090_4050,1.35517323,0.803162694
PU2_3140_3680,1.56918693,0.704225361
PU2_3180_3370,1.43243241,0.74677527
PU2_3370_4020,1.43243241,0.74677527
PU2_3630_3590,1.32784534,0.888625622
PU2_3770_3600,1.32784534,0.888625622
PU2_3900_3750,1.32784534,0.888625622
PU2_4050_4180,1.37646246,1.03463793
PU2_4160_3930,1.43243241,0.74677527
PU2_4220_3900,1.32784534,0.888625622
PU2_4340_3860,0.298701316,0.490011334
PU2_4360_4160,1.43243241,0.74677527
PU2_4720_4750,1.67973125,0.398839742
PU2_4730_4220,1.32784534,0.888625622
PU2_4750_4450,1.67973125,0.398839742
PU2_5190_4310,1.43243241,0.25
PU2_5700_5210,1.43243241,0.311817884
PU2_6050_5190,1.43243241,0.685895205
PU3_2510_3290,1.64714503,0.799623728
PU3_3290_3390,1.64714503,0.799623728
PU3_3390_3730,1.32784534,0.888625622
PU3_3680_3890,1.56918693,0.704225361
PU3_3860_3610,0.298701316,0.490011334
PU3_4280_3860,0.298701316,0.490011334
PU3_4450_4440,1.67973125,0.398839742
PU3_5210_5050,1.43243241,0.311817884
PU4_3780_3930,1.43243241,0.74677527
PU4_3890_3990,1.43243241,1.28700125
PU4_3970_3890,1.43243241,1.28700125
PU4_3990_3780,1.43243241,0.74677527
PU4_4210_4170,1.43243241,0.74677527
PU4_4310_4210,1.43243241,0.311817884
PU4_4440_3970,1.43243241,1.28700125
PU4_5050_4310,1.43243241,0.311817884
PU5_3930_4170,1.43243241,0.74677527
PU5_4170_4020,1.43243241,0.74677527
PU6_3440_3590,1.32784534,0.888625622
PU6_3530_3440,1.32784534,0.888625622
PU6_3590_3640,1.32784534,0.888625622
PU6_3600_3602,1.32784534,0.888625622
PU6_3602_3730,1.32784534,0.888625622
PU6_3610_3530,1.25409627,0.997975171
PU6_3640_3600,1.32784534,0.888625622
PU6_3690_3610,1.25409627,0.997975171
PU6_3730_3750,1.32784534,0.888625622
PU6_3750_3752,1.32784534,0.888625622
PU6_3752_4080,1.32784534,0.888625622
PU6_3870_3690,1.25409627,0.997975171
PU6_4020_3870,1.43243241,0.74677527
PU6_4080_4180,1.37646246,1.03463793
PU6_4180_4150,1.37646246,1.03463793
RL0_6450_0000,1.35,1.16
RL0_6500_0000,1.35,1.16
RL0_6501_0000,1.35,1.16
RL0_6530_0000,1.35,1.16
RL0_6540_0001,1.35,2.19250178
RL1_6180_0001,1.4084506,1.16522956
RL1_6322_0000,1.35,1.16
RL5_6070_0000,1.35,1.16
RL5_6320_0000,1.35,1.16
RL5_6321_0000,1.35,1.16
RU2_5220_5640,1.35797274,1.11408198
RU2_5500_5610,1.35797274,1.43143427
RU2_5810_5610,1.35797274,1.43143427
RU2_5940_6200,0.70028013,1.52555299
RU2_6090_6220,1.35797274,1.60230744
RU2_6200_6170,1.35797274,0.892060637
RU2_6220_6170,1.35797274,0.892060637
RU3_5610_5640,1.35797274,1.11408198
RU3_6170_6040,1.35797274,0.892060637
RU4_5640_6030,1.35797274,1.07296145
RU4_6040_6030,1.35797274,1.07296145
RU5_6030_0001,1.35797274,1.07296145
SJ1_2280_2450,2.18181825,0.696517408
SJ2_1900_1930,2.18181825,0.696517408
SJ2_2110_2170,2.18181825,0.696517408
SJ2_2150_2130,2.18181825,0.696517408
SJ2_2500_2450,2.18181825,0.696517408
SJ2_2530_2820,1.22265124,0.723065794
SJ2_2570_2660,1.22265124,0.723065794
SJ2_2580_2500,2.18181825,0.696517408
SJ2_2820_2740,1.22265124,0.723065794
SJ2_2900_2740,1.22265124,0.723065794
SJ3_1980_2060,2.18181825,1.01282918
SJ3_2040_1980,2.18181825,0.587467372
SJ3_2160_2170,2.18181825,0.696517408
SJ3_2170_1970,2.18181825,0.696517408
SJ3_2230_2060,2.18181825,1.01282918
SJ3_2250_2230,2.18181825,0.634765625
SJ3_2450_2120,2.18181825,0.696517408
SJ4_2010_2210,2.18181825,0.932203352
SJ4_2060_2010,2.18181825,1.01282918
SJ4_2340_2210,2.18181825,0.932203352
SJ4_2360_2340,2.18181825,0.932203352
SJ4_2660_2360,1.22265124,0.723065794
SJ4_2740_2660,1.22265124,0.723065794
SJ5_2120_1930,2.18181825,0.696517408
SJ5_2210_2320,2.18181825,0.932203352
SJ5_2320_2120,2.18181825,0.696517408
SJ6_1930_1970,2.18181825,0.696517408
SJ6_1970_2130,2.18181825,0.696517408
SJ6_2130_2050,1.78571427,0.739462674
SL0_2180_2220,1.89483654,0.625869215
SL0_2220_2140,1.89483654,0.625869215
SL0_2721_2720,1.20195663,0.526371181
SL0_2831_2830,1.65052032,0.601970077
SL1_1700_1780,1.78571427,0.739462674
SL1_1730_1700,1.78571427,0.976464689
SL1_1790_1840,1.78571427,0.739462674
SL1_2000_2090,1.89483654,0.625869215
SL1_2190_2350,1.80708754,0.739176333
SL1_2390_2420,1.60280025,0.853447139
SL1_2670_2370,1.93340492,0.68073523
SL1_2760_2730,1.65052032,0.713194072
SL1_2770_2730,1.65052032,0.661764681
SL1_2830_2760,1.65052032,0.601970077
SL2_1670_1880,1.78571427,0.739462674
SL2_1810_2030,1.78571427,0.830840766
SL2_1850_1990,2.08252001,0.508216143
SL2_1990_2070,0.909090877,1.32065499
SL2_2070_2090,1.89483654,0.625869215
