seg,load for use in program ***
XU3_4650_0001,1690580.105
PM4_4040_0003,7000405.556
XU2_4270_0003,557008.6667
RU5_6030_0001,4812752.03
JL6_7430_7320,6208849.789
RU2_5940_6200,481087.812
JL7_6800_7070,11419828
PS2_6730_6660,272885.388
YP3_6330_6700,410066.623
PS5_5240_5200,5842520.69
PS3_5100_5080,2872814.26
SL3_2290_2260,1050494
SL3_2730_2550,1675740
MN3_7540_7680,501704.2857
SL4_2140_2240,6178752.632
SL3_2460_2430,3737880
OR1_8320_8271,433833.1579
PU6_4020_3870,9386084.5
SL1_2390_2420,1478346.667
PU3_3680_3890,1163477.65
NR5_8870_0003,4008242.105
PU6_3752_4080,26048333.33
MN3_7930_8010,753375.2632
PU4_4440_0003,1841454.444
PL1_4460_4780,259732.7778
PM1_3510_4000,315963.8889
PU6_3610_3530,10448600
WU2_3020_3320,1046795
PM1_3120_3400,989577.2222
PL0_4510_0001,217935.733
PU2_3090_4050,3330048.3
PM7_4200_0003,40596388.89
XU2_4330_4480,312689.441
SL9_2270_0003,112652875
NR6_8051_8000,10720515.79
PM2_2860_3040,1118724.27
PM7_4820_0001,54563850
XL1_4690_0001,242750
PU3_3290_3390,5806220.211
XU0_4130_4070,227046.8947
SU7_0850_0730,28645470.1
EM2_3980_0001,489421.2
SJ6_2130_0003,15759052.63
YM4_6620_0003,610352.5
JA5_7480_0001,1582020.96
SL3_2420_2700,10461929.3
JL7_7100_7030,11927988.3
SW7_1640_0003,24789263.16
YP4_6720_6750,1550274.72
SL9_2720_0001,136685200
SL9_2490_2520,132904311
SU8_1610_1530,44599058
