 seg, sgtf_conc1N
 EM0_4870_0000, -999.
 EM0_4871_0000, -999.
 EM0_4872_0000, -999.
 EM0_4873_0000, -999.
 EM0_4874_0000, -999.
 EM0_4880_0000, -999.
 EM0_4881_0000, -999.
 EM0_4882_0000, -999.
 EM0_4883_0000, -999.
 EM0_4884_0000, -999.
 EM0_4885_0000, -999.
 EM0_4886_0000, -999.
 EM0_4887_0000, -999.
 EM0_4888_0000, -999.
 EM0_5260_0000, -999.
 EM2_3980_0001,  1.55963302
 EM2_4100_0001, -999.
 EM2_4101_0000, -999.
 EM3_4320_0000, -999.
 EM3_4321_0000, -999.
 EM3_4325_0000, -999.
 EM3_4326_0000, -999.
 EM4_4740_0000, -999.
 EU0_2940_0000, -999.
 EU0_2941_0000, -999.
 EU0_2985_0000, -999.
 EU0_3010_0000, -999.
 EU0_3050_0000, -999.
 EU0_3130_0000, -999.
 EU0_3200_0000, -999.
 EU0_3201_0000, -999.
 EU0_3202_0000, -999.
 EU0_3203_0000, -999.
 EU0_3300_0000, -999.
 EU0_3360_0000, -999.
 EU0_3361_0000, -999.
 EU0_3362_0000, -999.
 EU0_3363_0000, -999.
 EU0_3570_0000, -999.
 EU0_3571_0000, -999.
 EU0_3572_0000, -999.
 EU0_3573_0000, -999.
 EU0_3700_0000, -999.
 EU0_3720_0000, -999.
 EU0_3721_0000, -999.
 EU0_3722_0000, -999.
 EU0_3724_0000, -999.
 EU0_3725_0000, -999.
 EU0_3830_0001, -999.
 EU0_4010_0000, -999.
 EU0_4011_0000, -999.
 EU0_4012_0000, -999.
 EU0_4013_0000, -999.
 EU0_4014_0000, -999.
 EU0_4015_0000, -999.
 EU0_4030_0000, -999.
 EU0_4120_0000, -999.
 EU0_4121_0000, -999.
 EU0_4260_0000, -999.
 EU0_4470_0000, -999.
 EU0_4471_0000, -999.
 EU0_4472_0000, -999.
 EU0_4473_0000, -999.
 EU0_4474_0000, -999.
 EU0_4475_0000, -999.
 EU0_4490_0000, -999.
 EU0_4550_0000, -999.
 EU0_4610_0000, -999.
 EU0_4700_0000, -999.
 EU1_2650_0001, -999.
 EU1_2810_0001, -999.
 EU1_2980_0000, -999.
 EU1_2981_0000, -999.
 EU1_2982_0000, -999.
 EU1_2983_0000, -999.
 EU1_2984_0000, -999.
 EU2_3520_0001, -999.
 GY0_3800_3801, -999.
 GY0_3801_0000, -999.
 GY0_3950_3952, -999.
 GY0_3951_3952, -999.
 GY0_3952_0000, -999.
 GY0_4240_3951, -999.
 GY0_4530_4532, -999.
 GY0_4531_4532, -999.
 GY0_4532_3951, -999.
 JA0_7291_7290, -999.
 JA1_7600_7570,  4.
 JA1_7640_7280,  4.
 JA2_7290_0001, -999.
 JA2_7410_7470,  4.
 JA2_7550_7280,  4.
 JA2_7570_7480,  4.
 JA4_7280_7340,  4.
 JA4_7340_7470,  4.
 JA4_7470_7480,  4.
 JA5_7460_0000, -999.
 JA5_7480_0001,  4.
 JA5_7520_0000, -999.
 JB0_7050_0000, -999.
 JB0_7051_0001, -999.
 JB0_7052_0001, -999.
 JB0_7053_0001, -999.
 JB0_7071_0000, -999.
 JB0_7072_0000, -999.
 JB0_7073_0000, -999.
 JB0_7074_0000, -999.
 JB0_7270_0000, -999.
 JB0_7390_0000, -999.
 JB0_7580_0000, -999.
 JB0_7660_0000, -999.
 JB0_7760_0000, -999.
 JB1_8090_0001, -999.
 JB2_7800_0001, -999.
 JB3_6820_7053,  0.714209616
 JB7_7070_0001, -999.
 JL1_6560_6440,  0.510543823
 JL1_6760_6910,  1.29169083
 JL1_6770_6850,  1.21235085
 JL1_6910_6960,  1.29169083
 JL1_6940_7200,  1.21235085
 JL1_7080_7190,  0.460210919
 JL1_7170_6800,  1.0224539
 JL1_7190_7250,  1.21235085
 JL1_7200_7250,  1.21235085
 JL1_7530_7430,  1.13861394
 JL2_6240_6520,  0.812672198
 JL2_6440_6441,  1.07077134
 JL2_6441_6520,  1.07077134
 JL2_6850_6890,  1.21235085
 JL2_7110_7120,  1.29169083
 JL2_7120_6970,  1.29169083
 JL2_7240_7350,  0.412186384
 JL2_7250_7090,  1.21235085
 JL2_7350_7090,  1.21235085
 JL3_7020_7100,  1.29169083
 JL3_7090_7150,  1.21235085
 JL4_6520_6710,  0.812672198
 JL4_6710_6740,  1.29169083
 JL6_6740_7100,  1.29169083
 JL6_6890_6990,  1.21235085
 JL6_6960_6970,  1.29169083
 JL6_6970_6740,  1.29169083
 JL6_6990_6960,  1.29169083
 JL6_7150_6890,  1.21235085
 JL6_7160_7440,  1.13861394
 JL6_7320_7150,  1.21235085
 JL6_7430_7320,  1.13861394
 JL6_7440_7430,  1.13861394
 JL7_6800_7070,  1.0224539
 JL7_7030_6800,  1.0224539
 JL7_7100_7030,  1.29169083
 JU1_6290_6590,  1.308074
 JU1_6300_6650,  0.622245252
 JU1_6340_6650,  1.13861394
 JU1_6590_6600,  1.308074
 JU1_6880_7260,  0.537822962
 JU1_7560_7500,  1.13861394
 JU1_7630_7490,  1.13861394
 JU1_7690_7490,  1.13861394
 JU1_7750_7560,  1.13861394
 JU2_6410_6640,  0.418076843
 JU2_6600_6810,  1.308074
 JU2_6810_6900,  3.72104239
 JU2_7140_7330,  1.71717179
 JU2_7180_7380,  1.13861394
 JU2_7360_7000,  1.13861394
 JU2_7450_7360,  1.13861394
 JU3_6380_6900,  0.844346523
 JU3_6640_6790,  0.572344303
 JU3_6650_7300,  1.13861394
 JU3_6790_7260,  0.537822962
 JU3_6900_6950,  3.72104239
 JU3_6950_7330,  1.71717179
 JU3_7400_7510,  1.13861394
 JU3_7490_7400,  1.13861394
 JU4_7000_7300,  1.13861394
 JU4_7260_7380,  1.13861394
 JU4_7330_7000,  1.13861394
 JU4_7380_7160,  1.13861394
 JU5_7300_7510,  1.13861394
 JU5_7420_7160,  1.13861394
 JU5_7500_7420,  1.13861394
 JU5_7510_7500,  1.13861394
 MN0_7790_0000, -999.
 MN0_7870_0000, -999.
 MN0_8040_0000, -999.
 MN0_8300_0001, -999.
 MN1_7590_7860, -999.
 MN1_7620_7710,  1.21633363
 MN1_7730_8160, -999.
 MN1_7990_8100,  1.81693518
 MN1_8240_0000, -999.
 MN2_7720_7830,  1.21633363
 MN2_7830_7950,  1.21633363
 MN2_7850_0000, -999.
 MN2_8100_8190,  1.81693518
 MN2_8250_8190,  1.81693518
 MN2_8530_8510, -999.
 MN3_7540_7680,  1.11180508
 MN3_7680_7860, -999.
 MN3_7770_7930,  1.03909469
 MN3_7860_8080, -999.
 MN3_7930_8010,  1.03909469
 MN3_8010_7950,  1.21633363
 MN3_8150_0000, -999.
 MN3_8190_8260,  1.81693518
 MN4_7710_8161,  1.21633363
 MN4_7810_8080, -999.
 MN4_7950_7710,  1.21633363
 MN4_8080_8110, -999.
 MN4_8110_0000, -999.
 MN4_8260_8400,  1.81693518
 MN4_8380_0000, -999.
 MN4_8400_8380, -999.
 MN4_8510_8380, -999.
 MN5_8160_0000, -999.
 MN5_8161_8160, -999.
 MN5_8230_8161,  1.21633363
 NR0_8310_0000, -999.
 NR1_7880_8050,  1.4693476
 NR1_8030_8051,  1.4693476
 NR1_8820_8760,  1.01784718
 NR1_8960_8870,  0.884353697
 NR1_9030_9080,  0.884353697
 NR1_9150_9050,  0.884353697
 NR2_8210_8180,  0.623306215
 NR2_8600_8700,  1.14273846
 NR2_9250_9170,  0.884353697
 NR3_8290_8170,  1.4693476
 NR3_8420_8430,  0.629834235
 NR3_8430_7820,  1.4693476
 NR3_8690_8500,  1.01784718
 NR3_8740_8500,  1.01784718
 NR3_9170_9130,  0.884353697
 NR3_9190_9170,  0.884353697
 NR3_9240_9130,  0.884353697
 NR3_9310_9240,  0.884353697
 NR4_9130_9080,  0.884353697
 NR5_8700_8640,  1.01784718
 NR5_8760_8640,  1.01784718
