land,for,hvf,rpd,npd,cpd,rcn,ccn,rex,nex,cex,pas,trp,urs,alf,hyw,hyo,hom,hwm,lwm,nhy,npa,nal ,nho,nhi,nlo,afo,cfo,rid,nid,cid
A10001,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.2,2.4,1.9,0.84,0.84,0.84,3.27,3.27,1.96,0.84,0.2,0.84,3.27,3.27,1.96,1.9,1.9,5.18,5.18,5.18
A10003,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.8,9.6,7.6,1.16,1.16,1.16,4.51,4.51,2.71,1.16,0.8,1.16,4.51,4.51,2.71,7.6,7.6,5.18,5.18,5.18
A10005,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.32,0.32,0.32,1.26,1.26,0.75,0.32,0.03,0.32,1.26,1.26,0.75,0.29,0.29,5.18,5.18,5.18
A11001,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.03,0.36,0.29,0.32,0.32,0.32,1.26,1.26,0.75,0.32,0.03,0.32,1.26,1.26,0.75,0.29,0.29,5.18,5.18,5.18
A24001,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.23,2.76,2.19,1.04,1.04,1.04,4.08,4.08,2.45,1.04,0.23,1.04,4.08,4.08,2.45,2.19,2.19,5.18,5.18,5.18
A24003,0.29,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.47,5.64,4.47,2.58,2.58,2.58,10.06,10.06,6.04,2.58,0.47,2.58,10.06,10.06,6.04,4.47,4.47,5.18,5.18,5.18
A24005,0.46,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.29,15.48,12.26,3.18,3.18,3.18,12.42,12.42,7.45,3.18,1.29,3.18,12.42,12.42,7.45,12.26,12.26,5.18,5.18,5.18
A24009,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.15,13.8,10.93,5.67,5.67,5.67,22.15,22.15,13.29,5.67,1.15,5.67,22.15,22.15,13.29,10.93,10.93,5.18,5.18,5.18
A24011,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.04,0.48,0.38,0.66,0.66,0.66,2.58,2.58,1.55,0.66,0.04,0.66,2.58,2.58,1.55,0.38,0.38,5.18,5.18,5.18
A24013,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.85,10.2,8.08,1.05,1.05,1.05,4.09,4.09,2.45,1.05,0.85,1.05,4.09,4.09,2.45,8.08,8.08,5.18,5.18,5.18
A24015,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.49,5.88,4.66,1.75,1.75,1.75,6.82,6.82,4.09,1.75,0.49,1.75,6.82,6.82,4.09,4.66,4.66,5.18,5.18,5.18
A24017,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.36,4.32,3.42,3.69,3.69,3.69,14.41,14.41,8.65,3.69,0.36,3.69,14.41,14.41,8.65,3.42,3.42,5.18,5.18,5.18
A24019,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.08,0.96,0.76,0.64,0.64,0.64,2.49,2.49,1.49,0.64,0.08,0.64,2.49,2.49,1.49,0.76,0.76,5.18,5.18,5.18
A24021,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.48,17.76,14.06,2.46,2.46,2.46,9.59,9.59,5.76,2.46,1.48,2.46,9.59,9.59,5.76,14.06,14.06,5.18,5.18,5.18
A24023,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.57,6.84,5.42,1.11,1.11,1.11,4.34,4.34,2.6,1.11,0.57,1.11,4.34,4.34,2.6,5.42,5.42,5.18,5.18,5.18
A24025,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.38,4.56,3.61,1.76,1.76,1.76,6.87,6.87,4.12,1.76,0.38,1.76,6.87,6.87,4.12,3.61,3.61,5.18,5.18,5.18
A24027,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.2,38.4,30.4,2.02,2.02,2.02,7.89,7.89,4.73,2.02,3.2,2.02,7.89,7.89,4.73,30.4,30.4,5.18,5.18,5.18
A24029,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.27,15.24,12.07,1.43,1.43,1.43,5.58,5.58,3.35,1.43,1.27,1.43,5.58,5.58,3.35,12.07,12.07,5.18,5.18,5.18
A24031,0.36,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.23,14.76,11.69,2.8,2.8,2.8,10.96,10.96,6.57,2.8,1.23,2.8,10.96,10.96,6.57,11.69,11.69,5.18,5.18,5.18
