landseg,for,hvf,hwm,lwm,hom,hyw,pas,hyo,alf,trp,urs,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,nhi,nlo,nho,nhy,npa,nal
A24043,0.9907,20.25,9.8967,9.9090,14.6166,2.6691,3.0927,2.7,4.95,17.0407,113.4,1.9323,0,7.5,8.8594,1.9323,0,8.8594,1.9323,0,7.5,8.8594,7.9174,7.9272,11.6933,2.1353,2.4742,3.96
A24045,1.1051,20.25,23.7280,23.7323,15.7120,3.1723,5.5374,2.7,4.95,30.5111,113.4,2.6944,0,7.5,8.8594,2.6944,0,8.8594,2.6944,0,7.5,8.8594,18.9824,18.9858,12.5696,2.5379,4.4299,3.96
A24047,0.9647,20.25,11.8622,11.8733,16.1097,2.3266,3.1284,2.7,4.95,17.2376,113.4,2.5793,0,7.5,8.8594,2.5793,0,8.8594,2.5793,0,7.5,8.8594,9.4897,9.4986,12.8877,1.8613,2.5027,3.96
A24510,1.3363,20.25,8.9888,8.9836,17.0184,2.0150,1.5630,2.7,4.95,8.6123,113.4,3.8499,0,7.5,8.8594,3.8499,0,8.8594,3.8499,0,7.5,8.8594,7.1911,7.1869,13.6147,1.6120,1.2504,3.96
A36003,0.8575,20.25,12.6777,12.6884,18.4954,1.8655,1.9545,2.7,4.95,10.7694,113.4,2.4174,0,7.5,8.8594,2.4174,0,8.8594,2.4174,0,7.5,8.8594,10.1422,10.1507,14.7963,1.4924,1.5636,3.96
A36007,0.8576,20.25,12.9827,12.9931,15.1675,1.9647,1.9041,2.7,4.95,10.4914,113.4,2.9574,0,7.5,8.8594,2.9574,0,8.8594,2.9574,0,7.5,8.8594,10.3861,10.3945,12.1340,1.5718,1.5233,3.96
A36015,0.8224,20.25,11.7413,11.5063,15.9478,2.0027,1.8356,2.7,4.95,10.1143,113.4,2.1224,0,7.5,8.8594,2.1224,0,8.8594,2.1224,0,7.5,8.8594,9.3931,9.2051,12.7583,1.6022,1.4685,3.96
A36017,0.8503,20.25,13.4968,13.5069,18.5762,1.9870,1.9170,2.7,4.95,10.5628,113.4,3.5325,0,7.5,8.8594,3.5325,0,8.8594,3.5325,0,7.5,8.8594,10.7974,10.8055,14.8610,1.5896,1.5336,3.96
A36023,0.9170,20.25,13.5814,13.5916,15.1711,1.9282,1.9558,2.7,4.95,10.7765,113.4,3.6627,0,7.5,8.8594,3.6627,0,8.8594,3.6627,0,7.5,8.8594,10.8651,10.8732,12.1369,1.5425,1.5646,3.96
A36025,0.8085,20.25,13.4866,13.8075,15.0688,1.9717,1.8554,2.7,4.95,10.2233,113.4,2.9871,0,7.5,8.8594,2.9871,0,8.8594,2.9871,0,7.5,8.8594,10.7893,11.0460,12.0550,1.5773,1.4843,3.96
A36043,0.7700,20.25,13.3546,13.3648,17.8511,1.9851,1.9939,2.7,4.95,10.9862,113.4,3.3392,0,7.5,8.8594,3.3392,0,8.8594,3.3392,0,7.5,8.8594,10.6837,10.6919,14.2809,1.5880,1.5951,3.96
A36051,0.8799,20.25,12.9510,12.9615,17.6408,2.0508,2.2893,2.7,4.95,12.6139,113.4,2.6373,0,7.5,8.8594,2.6373,0,8.8594,2.6373,0,7.5,8.8594,10.3608,10.3692,14.1127,1.6407,1.8314,3.96
A36053,0.9430,20.25,13.1420,13.1524,16.4021,2.0645,2.1317,2.7,4.95,11.7459,113.4,3.3639,0,7.5,8.8594,3.3639,0,8.8594,3.3639,0,7.5,8.8594,10.5136,10.5219,13.1217,1.6516,1.7054,3.96
A36065,0.8542,20.25,12.1197,12.1306,25.0319,2.0324,2.0534,2.7,4.95,11.3141,113.4,3.3726,0,7.5,8.8594,3.3726,0,8.8594,3.3726,0,7.5,8.8594,9.6957,9.7045,20.0255,1.6259,1.6427,3.96
A36067,1.0077,20.25,12.2554,12.2662,14.1892,2.0735,2.6278,2.7,4.95,14.4794,113.4,3.7175,0,7.5,8.8594,3.7175,0,8.8594,3.7175,0,7.5,8.8594,9.8043,9.8130,11.3513,1.6588,2.1023,3.96
A36069,0.9269,20.25,11.9077,11.9188,18.4706,2.1010,2.5175,2.7,4.95,13.8713,113.4,2.4238,0,7.5,8.8594,2.4238,0,8.8594,2.4238,0,7.5,8.8594,9.5262,9.5350,14.7765,1.6808,2.0140,3.96
A36077,0.8298,20.25,12.7464,12.7570,16.0265,1.9927,1.8791,2.7,4.95,10.3538,113.4,3.2010,0,7.5,8.8594,3.2010,0,8.8594,3.2010,0,7.5,8.8594,10.1971,10.2056,12.8212,1.5941,1.5033,3.96
A36095,0.8134,20.25,12.1475,12.1584,14.2952,1.9712,1.9944,2.7,4.95,10.9889,113.4,3.1706,0,7.5,8.8594,3.1706,0,8.8594,3.1706,0,7.5,8.8594,9.7180,9.7267,11.4361,1.5769,1.5955,3.96
A36097,0.8591,20.25,12.7164,12.7270,15.8340,2.0030,1.8652,2.7,4.95,10.2772,113.4,2.4704,0,7.5,8.8594,2.4704,0,8.8594,2.4704,0,7.5,8.8594,10.1731,10.1816,12.6672,1.6024,1.4921,3.96
A36101,0.8076,20.25,11.7485,11.7597,13.3539,1.8612,1.8519,2.7,4.95,10.2037,113.4,1.8862,0,7.5,8.8594,1.8862,0,8.8594,1.8862,0,7.5,8.8594,9.3988,9.4077,10.6831,1.4889,1.4815,3.96
A36107,0.8367,20.25,13.0678,13.0782,15.2896,2.0433,1.9300,2.7,4.95,10.6346,113.4,2.6948,0,7.5,8.8594,2.6948,0,8.8594,2.6948,0,7.5,8.8594,10.4543,10.4626,12.2317,1.6347,1.5440,3.96
A36109,0.8953,20.25,11.9446,11.9557,13.9555,1.9450,2.2971,2.7,4.95,12.6568,113.4,3.2317,0,7.5,8.8594,3.2317,0,8.8594,3.2317,0,7.5,8.8594,9.5557,9.5646,11.1644,1.5560,1.8376,3.96
A36123,0.8524,20.25,12.3250,12.3359,16.6760,2.1106,2.3082,2.7,4.95,12.7181,113.4,2.4100,0,7.5,8.8594,2.4100,0,8.8594,2.4100,0,7.5,8.8594,9.8600,9.8687,13.3408,1.6884,1.8465,3.96
A42001,1.1074,20.25,11.3551,11.3665,14.9658,3.0136,2.7932,2.7,4.95,15.3907,113.4,2.6367,0,7.5,8.8594,2.6367,0,8.8594,2.6367,0,7.5,8.8594,9.0841,9.0932,11.9726,2.4109,2.2346,3.96
A42009,0.8881,20.25,11.0704,11.0819,14.1823,2.6798,2.6603,2.7,4.95,14.6582,113.4,2.5938,0,7.5,8.8594,2.5938,0,8.8594,2.5938,0,7.5,8.8594,8.8563,8.8655,11.3458,2.1438,2.1282,3.96
A42011,1.1212,20.25,10.6397,10.6515,14.1774,2.9997,4.6204,2.7,4.95,25.4582,113.4,4.4682,0,7.5,8.8594,4.4682,0,8.8594,4.4682,0,7.5,8.8594,8.5118,8.5212,11.3419,2.3997,3.6963,3.96
A42013,0.9735,20.25,11.2423,11.2537,14.0525,2.9811,4.7555,2.7,4.95,26.2030,113.4,3.0420,0,7.5,8.8594,3.0420,0,8.8594,3.0420,0,7.5,8.8594,8.9938,9.0030,11.2420,2.3849,3.8044,3.96
A42015,0.8811,20.25,10.2987,10.3107,15.5451,2.6201,2.7374,2.7,4.95,15.0829,113.4,2.4894,0,7.5,8.8594,2.4894,0,8.8594,2.4894,0,7.5,8.8594,8.2389,8.2485,12.4361,2.0961,2.1899,3.96
A42021,1.0714,20.25,10.3544,10.3664,14.7893,2.5430,2.6126,2.7,4.95,14.3956,113.4,3.8178,0,7.5,8.8594,3.8178,0,8.8594,3.8178,0,7.5,8.8594,8.2835,8.2931,11.8314,2.0344,2.0901,3.96
