LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON,SPO4,IPO4,DPO4,BPO4
A24037,0.23997,0.39638,0.01434,0.41856,0.05023,4.33528,7.42277,0.06475,0.01525,0.29523,0.48358,0.00177,2.28768,1.87966,5.00817,0.29045,0.91443,0.21252,0.02241
A24009,0.06432,0.52969,0.03655,0.43366,0.01695,4.0488,7.99582,0.00097,0.01867,0.29257,0.52536,0.00018,1.62228,2.33828,5.00533,0.06362,0.74653,0.76879,0.02243
F24009,0.06881,0.52867,0.05663,0.43356,0.02369,4.00873,8.00446,0.00139,0.01061,0.33134,0.52538,0.00017,1.60735,2.34032,4.98316,0.05784,0.68524,0.8367,0.02243
F24037,0.44584,0.40659,0.01454,0.4367,0.10032,5.82341,6.51534,0.18144,0.02576,0.20685,0.54371,0.0034,2.26003,1.88543,4.98799,0.32955,0.96898,0.02498,0.0224
A24033,0.08994,0.62228,0.04085,0.45939,0.02104,4.04385,8.71651,0.02716,0.00688,0.42517,0.55141,0.00033,2.29186,2.30543,5.30558,0.07865,0.68743,0.92342,0.01954
F24033,0.15777,0.70629,0.04361,0.48646,0.03703,4.59722,8.85698,0.0488,0.01057,0.3929,0.5744,0.00056,2.22374,2.19885,5.37898,0.13752,0.93064,0.72042,0.01983
A24003,0.17256,0.42869,0.01919,0.37665,0.04715,5.92008,8.0676,0.06485,0.0255,0.31736,0.50258,0.00113,1.89944,2.13237,4.86087,0.22683,0.97075,0.33918,0.00186
F24003,0.15682,0.43728,0.01831,0.37705,0.04304,5.98556,8.05203,0.06826,0.02718,0.31225,0.50212,0.00119,1.88389,2.14572,4.86055,0.23083,0.99001,0.30605,0.00186
A24027,0.14335,0.46869,0.0141,0.35421,0.03133,6.47538,9.49171,0.01179,0.03714,0.37631,0.52645,0.00071,2.29699,2.01791,5.05758,0.1283,0.89585,0.56433,0.01006
F24027,0.08555,0.44561,0.00994,0.32677,0.02145,5.61949,10.076,0.00605,0.03948,0.36269,0.52342,0.00067,2.60238,1.83036,5.00301,0.10755,0.8144,0.66555,0.0082
A24031,0.10818,0.38613,0.0125,0.30315,0.02661,4.94525,9.62012,0.00147,0.05648,0.27361,0.50049,0.00056,2.14893,1.94232,4.69013,0.08859,0.73811,0.73027,0.0146
F24031,0.09038,0.28584,0.01,0.33269,0.0237,3.38537,10.2078,2e-05,0.266,0.07812,0.49294,0.00053,2.04253,1.78001,5.20058,0.0767,0.49761,0.619,0.00297
A51073,0.06698,0.3898,0.00709,0.32348,0.01372,4.80049,6.76238,0.00538,0.13421,0.21216,0.42913,0.00176,1.99728,1.53159,4.26916,0.07049,1.429,0.00835,0.02197
A51115,0.0443,0.39667,0.00296,0.32386,0.00917,4.52984,6.958,0.00074,0.28453,0.05104,0.43271,0.00205,2.61565,0.85196,4.22302,0.09272,1.18194,0.01515,0.02197
A51119,0.10698,0.41163,0.0118,0.38264,0.03147,4.08281,6.63582,0.00473,0.08401,0.21655,0.43814,0.00135,2.06019,1.77083,4.64839,0.12618,1.2963,0.03001,0.02197
A51199,0.0187,0.432,0.00492,0.31079,0.00313,4.61519,9.23091,0.01382,0.03761,0.31183,0.44052,0.00078,2.29892,1.38922,4.49106,0.02636,1.49236,0.00592,0.02269
F51199,0.01952,0.43097,0.00499,0.31078,0.00322,4.61398,9.2435,0.01319,0.03719,0.31288,0.44046,0.00076,2.3013,1.38686,4.4917,0.02779,1.49092,0.00606,0.02269
A51095,0.05444,0.48816,0.00961,0.38998,0.01395,5.68657,7.94404,0.04994,0.05634,0.30011,0.48633,0.0008,2.29088,1.74905,4.85524,0.04281,1.44841,0.01064,0.02263
A51097,0.06925,0.46045,0.00709,0.38845,0.01884,3.5379,7.76728,6e-05,0.32767,0.0911,0.49289,0.00112,3.08287,1.3641,4.76724,0.15172,0.78104,0.49722,0.0147
A51127,0.10717,0.35426,0.01026,0.37747,0.02828,4.67422,8.02528,0.0005,0.25412,0.10217,0.49671,0.00135,2.4394,1.5318,4.78787,0.18754,1.01747,0.07321,0.02158
A51830,0.05727,0.75931,0.004,0.38474,0.01317,8.19302,7.90699,0.0027,0.18278,0.21653,0.48007,0.00122,2.961,0.9728,4.7611,0.02497,1.41381,0.00312,0.02254
F51095,0.05203,0.49099,0.00951,0.39002,0.0135,5.69007,7.93753,0.04994,0.05712,0.29931,0.48604,0.00081,2.28892,1.75082,4.85485,0.04107,1.45038,0.01048,0.02262
F51830,0.06463,0.74865,0.00419,0.38451,0.01449,8.16066,7.91582,0.00279,0.18069,0.21874,0.48003,0.00126,2.96191,0.9715,4.76067,0.02839,1.41033,0.00318,0.02273
A51650,0.04466,0.45912,0.00416,0.37439,0.01805,5.06139,11.3602,0.00216,0.18877,0.18296,0.44796,0.00088,2.62313,1.05889,4.49286,0.02043,1.23121,0.00341,0.02278
A51735,0.03436,0.73837,0.00384,0.39593,0.00982,7.75647,7.12895,0.00114,0.13783,0.23733,0.44061,0.00073,2.56303,1.06834,4.33977,0.01361,1.19625,0.00324,0.02261
F51650,0.03885,0.46561,0.004,0.37441,0.01661,5.06795,11.3462,0.00203,0.18848,0.18397,0.44796,0.00082,2.62008,1.06247,4.49201,0.01767,1.23384,0.00336,0.02278
F51735,0.06127,0.70214,0.0046,0.39549,0.01335,7.66738,7.13567,0.00136,0.13394,0.24225,0.44076,0.00089,2.57369,1.05724,4.34132,0.02551,1.18421,0.00338,0.02262
A51101,0.10135,0.46565,0.00988,0.38696,0.02731,4.11276,8.13992,0.00015,0.20575,0.13435,0.51772,0.00094,2.5795,1.56574,4.76101,0.186,0.76751,0.54341,0.01445
A51033,0.10863,0.36158,0.00976,0.34768,0.02678,3.74376,7.16284,0.0001,0.2586,0.07285,0.46594,0.00094,2.27671,1.46166,4.44678,0.19692,0.7458,0.53274,0.01303
F51033,0.18091,0.28968,0.01014,0.34626,0.04171,4.17207,7.14581,0.00167,0.14077,0.16385,0.45609,0.00145,2.25493,1.44709,4.46087,0.29488,0.73617,0.27338,0.01154
A51177,0.60884,0.6793,0.01675,0.43765,0.15653,5.12019,7.70381,0.0686,0.03726,0.32554,0.4772,0.00231,2.82427,1.523,5.26863,0.4401,1.00975,0.03269,0.01171
F51177,0.62119,0.68018,0.01679,0.4374,0.16113,5.14679,7.66291,0.07019,0.03725,0.32417,0.47521,0.00234,2.82215,1.52376,5.26647,0.44421,1.00998,0.03142,0.01124
F51101,0.35175,0.33773,0.01488,0.39274,0.09032,4.33705,7.02689,0.0229,0.04457,0.28211,0.45719,0.00211,2.42634,1.59964,4.85222,0.25332,1.29525,0.02216,0.01445
A51109,0.31076,1.08748,0.01212,0.51439,0.08426,6.65353,7.15741,0.07206,0.05824,0.35081,0.53693,0.00136,3.50163,1.30526,5.793,0.17432,1.37034,0.01209,0.00545
A51003,0.07725,0.9293,0.00189,0.44286,0.03633,5.79566,10.7722,0.0029,0.27124,0.15476,0.57647,0.00134,4.02026,0.50078,5.85137,0.10809,1.1323,0.08851,0.00981
A51065,0.14218,0.76656,0.00504,0.47023,0.03847,4.60599,11.3806,0.00016,0.30716,0.06067,0.65986,0.00132,3.37104,0.92986,5.44258,0.17018,0.91715,0.2807,0.01068
A51075,0.18308,0.69049,0.00446,0.45578,0.05152,5.16877,8.25746,0.03187,0.08862,0.29669,0.50874,0.00178,3.65863,0.74179,5.42817,0.15625,1.26936,0.01456,0.00098
A51103,0.16822,0.38108,0.00155,0.40101,0.05089,4.17359,6.13201,0.00221,0.32978,0.02691,0.50332,0.00338,3.43789,0.3711,4.6372,0.18338,1.30952,0.00351,0.02242
A51133,0.24487,0.32479,0.01041,0.37084,0.08318,5.28939,6.15162,0.00405,0.26174,0.11746,0.46392,0.00227,2.46408,1.43408,4.75933,0.16982,1.34031,0.01192,0.02242
A51057,0.06273,0.53615,0.00802,0.38448,0.01687,3.90875,8.08682,6e-05,0.27114,0.12172,0.50786,0.00066,3.1767,1.41107,4.58316,0.09735,0.85417,0.51198,0.022
A51159,0.09101,0.58381,0.00183,0.41958,0.02492,4.51388,8.26363,0.00015,0.35718,0.01721,0.52945,0.00165,3.34783,0.42088,4.92264,0.1777,1.20243,0.08638,0.02243
F51159,0.17062,0.4272,0.0019,0.40156,0.04842,4.13801,5.91208,0.00231,0.31808,0.04209,0.50156,0.00291,3.52903,0.42493,4.76158,0.20055,1.24952,0.00617,0.02242
A51099,0.13328,0.64529,0.00577,0.43244,0.03715,4.93342,8.1163,0.00117,0.22408,0.1381,0.54595,0.00135,3.04858,0.97004,5.1172,0.1161,1.62156,0.00776,0.02198
A51630,0.38564,0.53688,0.01015,0.25523,0.0977,7.71579,11.1628,0.00216,0.1798,0.27845,0.54401,0.0021,3.43479,0.99383,5.59903,0.22789,1.3029,0.01165,0.00813
F51057,0.12088,0.67417,0.01247,0.43098,0.03474,5.31888,8.81309,0.00064,0.19942,0.15292,0.56548,0.00095,2.27663,1.72948,4.77979,0.18607,1.46412,0.2178,0.02199
