lsegmt,NO3,NH3,LON,RON,PO4,mNH3,mNO3,mLON,mRON,mPO4
A10001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A10003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A10005,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A11001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24005,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24011,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24013,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24017,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24019,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24021,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24025,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24027,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24029,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24031,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24033,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24035,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24037,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24039,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24041,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24043,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24045,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24047,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A24510,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36007,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36017,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36025,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36043,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36051,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36053,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36065,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36067,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36069,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36077,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36095,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36097,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36101,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36107,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36109,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A36123,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37005,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37033,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37067,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37077,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37081,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37131,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37135,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37145,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37157,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37169,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37171,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37181,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37185,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A37189,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42009,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42011,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42013,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42015,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42021,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42025,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42027,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42029,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42033,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42035,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42037,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42041,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42043,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42047,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42055,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42057,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42061,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42063,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42065,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42067,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42069,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42075,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42079,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42081,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42083,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42087,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42093,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42097,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42099,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42105,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42107,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42109,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42111,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42113,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42115,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42117,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42119,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42127,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42131,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A42133,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A47091,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A47163,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
A51001,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
