LUs,A,V,P,F,M,L,T,U,R
afo,1,0,0,0,0,0,-9,-9,-9
alf,1,1,0,1,1,0,-9,-9,-9
ccn,1,0,0,0,0,0,-9,-9,-9
cex,1,0,0,0,0,0,-9,-9,-9
cfo,1,0,0,0,0,0,-9,-9,-9
cid,1,0,0,0,0,0,-9,-9,-9
cpd,1,1,0,1,0,0,-9,-9,-9
for,1,0,0,0,0,0,-9,-9,-9
hom,1,1,1,1,0,1,-9,-9,-9
hvf,1,0,0,0,0,0,-9,-9,-9
hwm,1,1,1,1,1,1,-9,-9,-9
hyo,1,1,0,0,0,0,-9,-9,-9
hyw,1,1,0,1,1,1,-9,-9,-9
lwm,1,1,1,1,1,1,-9,-9,-9
nal,1,1,0,1,1,0,-9,-9,-9
nex,1,0,0,0,0,0,-9,-9,-9
nhi,1,1,1,1,1,1,-9,-9,-9
nho,1,1,1,1,0,1,-9,-9,-9
nhy,1,1,0,1,1,1,-9,-9,-9
nid,1,0,0,0,0,0,-9,-9,-9
nlo,1,1,1,1,1,1,-9,-9,-9
npa,1,1,0,1,1,0,-9,-9,-9
npd,1,1,0,1,0,0,-9,-9,-9
pas,1,1,0,1,1,0,-9,-9,-9
rcn,1,0,0,0,0,0,-9,-9,-9
rex,1,0,0,0,0,0,-9,-9,-9
rid,1,0,0,0,0,0,-9,-9,-9
rpd,1,1,0,1,0,0,-9,-9,-9
trp,1,1,0,0,1,0,-9,-9,-9
urs,1,1,0,1,0,0,-9,-9,-9
wat,1,0,0,0,0,0,-9,-9,-9
end

** A = Atmospheric Deposition
** V = Variable Cover / Sediment
** P = Plowing (DETS)
** F = Fertilizer Application
** M = Manure Application
** L = Legume Fixation
** T = Total Uptake
** U = Monthly Uptake
** R = Refractory Organic Storage Control
